4.3952,178.53
3.5136,179.16
3.2189,2.31
3.0349,178.58
3.8273,1.62
3.1048,177.97
2.9948,4.31
2.9971,0.44
2.4693,178.76
2.9279,2.67
3.0634,1.45
3.5155,2.50
3.8364,3.59
2.8889,2.22
3.3632,0.22
2.4217,176.30
2.5929,179.11
2.7292,0.19
2.7204,5.30
3.4925,179.07
3.5345,175.89
2.8221,2.00
3.0382,0.31
3.1065,179.15
3.3069,1.06
2.9965,178.79
3.0052,0.23
2.9013,4.98
3.2180,178.09
3.6210,3.48
3.1347,179.41
2.7925,0.43
3.1121,1.05
2.6781,177.97
2.6558,176.47
3.2194,0.28
2.5092,11.10
2.6989,178.50
3.2969,3.49
3.2539,1.91
3.4801,177.41
2.8075,179.23
3.0782,179.01
3.0414,1.27
3.1805,178.94
2.8473,179.55
2.9875,1.92
2.8960,179.70
2.9428,0.91
3.4624,4.56
2.3273,5.65
2.9858,179.92
3.0435,179.82
2.8557,176.80
3.0071,0.05
2.7504,178.15
2.7723,177.98
3.2770,0.65
3.5276,178.53
3.2706,179.98
4.5615,175.31
4.2519,1.14
3.9042,9.64
2.1848,4.27
3.0466,0.10
2.7935,2.52
3.0929,3.57
3.0940,2.32
3.4265,1.71
3.0234,0.90
2.7403,175.09
2.9857,0.15
2.9253,178.93
2.8632,1.72
3.0034,0.67
3.1610,175.44
2.9482,0.43
4.4590,177.55
3.0181,179.67
2.8099,175.93
3.1872,176.13
2.8021,179.16
1.8837,175.64
2.7669,0.16
2.5407,178.57
2.5499,2.00
4.6709,3.12
3.9773,1.91
2.5178,174.42
2.1091,179.71
2.4218,179.98
2.8636,179.02
3.0490,0.07
3.7431,2.46
3.7245,178.19
2.6616,179.28
2.5763,178.04
2.7703,5.24
3.3602,178.37
2.4902,179.46
2.4437,0.36
3.6804,179.44
2.0547,177.13
3.5573,174.80
3.4219,0.57
2.7403,1.53
3.4628,179.96
3.0214,3.25
3.1144,3.44
2.6856,176.10
2.9575,1.88
3.1654,179.74
2.9637,179.75
2.5305,173.20
2.8120,0.30
2.5938,176.67
3.0095,0.01
3.1895,174.25
2.9132,1.13
3.4457,176.53
2.7907,175.58
2.9284,179.43
3.2020,1.80
3.4693,0.07
3.0385,3.31
3.6355,5.08
4.0299,1.31
2.9621,6.62
2.8414,179.55
2.2498,0.85
3.0172,0.29
2.9823,0.61
3.0186,0.07
2.5776,0.81
3.3435,179.35
2.4057,2.60
2.9464,0.30
3.0181,0.28
3.8377,176.62
2.9765,178.97
2.8961,176.84
3.1920,179.40
3.4745,178.62
2.5159,2.81
2.3203,4.36
3.9585,177.54
3.1277,8.93
3.0821,174.53
2.8409,3.70
2.8923,1.74
2.9945,6.34
2.6308,174.49
3.0608,0.03
2.9695,0.47
3.5280,5.86
2.6575,3.73
2.9624,0.42
3.0686,178.09
3.3416,0.48
3.8609,178.48
2.9904,0.30
3.1879,2.26
2.8710,178.17
3.8692,179.15
3.3623,178.03
3.9177,179.01
2.9660,175.92
2.9554,179.78
2.7037,178.08
2.6693,1.02
3.0379,179.75
2.8751,172.42
4.1639,176.34
2.9062,0.22
3.0131,0.15
3.4935,7.68
2.5314,8.67
3.1335,8.73
2.7507,4.21
3.8044,178.55
2.7844,5.79
2.6691,2.40
1.9939,177.75
2.9323,178.89
3.2293,0.09
2.7743,174.97
2.6560,0.06
2.5203,168.39
4.1768,1.68
2.9754,4.07
3.2631,171.81
3.4469,179.15
2.9486,174.12
3.2145,1.36
1.9115,11.79
2.9589,2.77
3.0080,178.90
4.4165,171.79
3.1241,177.50
3.0524,0.88
